Sep	Start time	Start azimuth	End time	End azimuth
0	6.70	-155.00	8.80	-155.00
1	13.90	35.00	17.20	35.00
2	14.90	-155.00	17.80	-155.00
3	15.90	35.00	21.00	35.00
4	16.50	-155.00	18.80	-155.00
5	21.10	40.00	35.00	120.00
6	22.70	-50.00	24.80	-50.00
7	23.30	160.00	25.40	160.00
8	30.30	-140.00	32.40	-140.00
9	41.70	125.00	48.80	125.00
10	47.70	120.00	54.20	160.00
11	48.70	-140.00	50.80	-140.00
12	61.30	-60.00	68.40	-60.00
13	70.10	-150.00	72.20	-150.00
14	81.10	30.00	88.20	30.00
15	89.50	-130.00	91.60	-130.00
16	94.70	-65.00	96.80	-65.00
17	96.50	-60.00	98.60	-60.00
18	99.70	-65.00	106.80	-65.00
19	106.10	-25.00	108.20	-25.00
