Sep	Start time	Start azimuth	End time	End azimuth
0	17.10	-145.00	20.40	-145.00
1	18.50	25.00	20.80	25.00
2	19.10	-145.00	21.20	-145.00
3	30.90	-140.00	36.80	-145.00
4	38.70	-80.00	40.80	-80.00
5	45.90	-60.00	51.40	-60.00
6	49.50	-170.00	51.60	-170.00
7	60.90	-25.00	66.60	-20.00
8	66.70	-25.00	68.80	-25.00
9	75.70	25.00	81.60	25.00
10	91.10	125.00	97.00	120.00
11	106.10	175.00	109.40	175.00
12	107.50	-40.00	109.60	-40.00
13	108.30	-5.00	111.20	-10.00
14	127.10	20.00	131.40	25.00
15	131.90	15.00	134.60	20.00
16	136.10	-85.00	138.20	-85.00
