file,group,testTone,treatment,recorder,wp,true.azimuth,difference,detction
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,-180,0,y
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,-90,0,y
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,-45,0,y
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,0,0,y
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,90,0,y
1a_pinknoise_N_2,pre,pinknoise,raw,2,N,135,0,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,-180,5,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,-90,0,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,-45,0,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,0,0,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,90,0,y
1a_pinknoise2_N_2,pre,pinknoise,raw,2,N,135,5,y
1b_bird_N_2,pre,bird,raw,2,N,-180,0,y
1b_bird_N_2,pre,bird,raw,2,N,-90,5,y
1b_bird_N_2,pre,bird,raw,2,N,-45,5,y
1b_bird_N_2,pre,bird,raw,2,N,0,0,y
1b_bird_N_2,pre,bird,raw,2,N,90,0,y
1b_bird_N_2,pre,bird,raw,2,N,90,0,echo
1b_bird_N_2,pre,bird,raw,2,N,135,0,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,-180,5,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,-90,0,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,-45,0,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,0,-5,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,90,0,y
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,135,-175,echo
5a_pinknoise_Y_2,pre,pinknoise,raw,2,Y,135,10,y
5b_bird_Y_2,pre,bird,raw,2,Y,-180,10,y
5b_bird_Y_2,pre,bird,raw,2,Y,-180,10,echo
5b_bird_Y_2,pre,bird,raw,2,Y,-45,-5,y
5b_bird_Y_2,pre,bird,raw,2,Y,0,-5,y
5b_bird_Y_2,pre,bird,raw,2,Y,90,5,y
5b_bird_Y_2,pre,bird,raw,2,Y,135,10,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,-180,0,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,-90,0,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,-45,5,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,0,0,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,90,-5,y
7a_pinknoise_N_3,pre,pinknoise,raw,3,N,135,0,y
Blue_bird01,post,bird,raw,blue,Y,-90,-125,y
Blue_bird01,post,bird,raw,blue,Y,90,120,echo
Blue_bird02,post,bird,raw,blue,Y,-90,-125,echo
Blue_bird02,post,bird,raw,blue,Y,90,120,echo
Blue_pink01,post,bird,raw,blue,Y,-90,-125,echo
Blue_pink01,post,bird,raw,blue,Y,-45,170,y
Blue_Repowered_bird01,post,bird,raw,blue,Y,-180,-10,y
Blue_Repowered_bird01,post,bird,raw,blue,Y,90,-150,y
Blue_Repowered_bird02,post,bird,raw,blue,Y,-180,-10,echo
Blue_Repowered_bird02,post,bird,raw,blue,Y,90,-150,echo
Blue_Repowered_pink01,post,bird,raw,blue,Y,-180,-5,y
Blue_Repowered_pink01,post,bird,raw,blue,Y,90,-155,y
Blue_Repowered_pink02,post,bird,raw,blue,Y,-180,-10,echo
Blue_Repowered_pink02,post,bird,raw,blue,Y,90,-155,echo
Yellow_bird01,post,bird,raw,yellow,Y,-180,0,y
Yellow_bird01,post,bird,raw,yellow,Y,-90,-5,y
Yellow_bird01,post,bird,raw,yellow,Y,-45,145,y
Yellow_bird01,post,bird,raw,yellow,Y,-45,0,y
Yellow_bird01,post,bird,raw,yellow,Y,0,0,y
Yellow_bird01,post,bird,raw,yellow,Y,90,120,y
Yellow_bird01,post,bird,raw,yellow,Y,90,-5,y
Yellow_bird02,post,bird,raw,yellow,Y,-180,0,y
Yellow_bird02,post,bird,raw,yellow,Y,-90,0,y
Yellow_bird02,post,bird,raw,yellow,Y,-45,0,y
Yellow_bird02,post,bird,raw,yellow,Y,0,5,y
Yellow_bird02,post,bird,raw,yellow,Y,90,120,y
Yellow_bird02,post,bird,raw,yellow,Y,90,0,y
Yellow_bird02,post,bird,raw,yellow,Y,90,115,echo
Yellow_pink02,post,pinknoise,raw,yellow,Y,-180,-5,echo
Yellow_pink02,post,pinknoise,raw,yellow,Y,-90,0,echo
Yellow_pink02,post,pinknoise,raw,yellow,Y,-45,0,y
Yellow_pink02,post,pinknoise,raw,yellow,Y,0,5,y
Yellow_pink02,post,pinknoise,raw,yellow,Y,90,-5,y
Yellow_pink02,post,pinknoise,raw,yellow,Y,90,120,y
Yellow_pink02,post,pinknoise,raw,yellow,Y,90,0,y
